id,title,average_rating,budget,worldwide_gross,runtime
105,Dune: Part Two,8.5,190000000.0,714444358.0,166
106,Alien,8.5,11000000.0,108610218.0,117
107,Amaran,8.5,19000000.0,1717804.0,167
108,Django Unchained,8.5,100000000.0,426076293.0,165
109,Parasite,8.5,11400000.0,262129969.0,132
110,Whiplash,8.5,3300000.0,50360880.0,106
111,The Departed,8.5,90000000.0,291481358.0,151
112,Léon,8.5,16000000.0,20278356.0,110
113,The Prestige,8.5,40000000.0,109676311.0,130
114,Back to the Future,8.5,19000000.0,384577472.0,116
115,Psycho,8.5,806947.0,32066765.0,109
116,The Lion King,8.5,45000000.0,981708285.0,88
117,American History X,8.5,20000000.0,23875714.0,119
118,The Usual Suspects,8.5,6000000.0,23341568.0,106
119,The Pianist,8.5,35000000.0,120098945.0,150
120,Intouchables,8.5,9500000.0,426590315.0,112
121,Maharaja,8.5,19000000.0,975543.0,141
122,Grave of the Fireflies,8.5,3700000.0,801143.0,88
123,Casablanca,8.5,950000.0,4720495.0,102
124,C'era Una Volta Il West,8.5,5000000.0,5435312.0,166
125,Cinema Paradiso,8.5,5000000.0,13020497.0,174
126,Rear Window,8.5,1000000.0,37043820.0,112
127,Modern Times,8.5,1500000.0,463618.0,87
128,Dear Zachary: A Letter to a Son About His Father,8.5,19000000.0,18334.0,93
129,City Lights,8.5,1500000.0,55154.0,87
130,Senna,8.5,19000000.0,10197661.0,106
131,20 Days in Mariupol,8.5,19000000.0,34703.0,95
132,Baraka,8.5,2000000.0,1346497.0,96
133,Sita Ramam,8.5,3000000.0,2208029.0,163
134,Woman in the Dunes,8.5,19000000.0,6130561.0,147
135,96,8.5,19000000.0,616333.0,158
136,La meglio gioventù,8.5,19000000.0,2799773.0,374
137,The Fifth Seal,8.5,19000000.0,6130561.0,111
138,Intoxicated by Love,8.5,19000000.0,6130561.0,118
139,The Hole,8.5,19000000.0,34588.0,131
140,Ningen no jôken,8.5,19000000.0,6130561.0,208
141,Kumbalangi Nights,8.5,19000000.0,1312005.0,135
142,For Sama,8.5,19000000.0,1397546.0,100
143,Jersey,8.5,19000000.0,204669.0,157
144,Sarpatta Parambarai,8.5,19000000.0,6130561.0,173
146,Michael Madana Kama Rajan,8.5,19000000.0,6130561.0,162
147,Aaranya Kaandam,8.5,19000000.0,70000000.0,126
148,Madar,8.5,19000000.0,6130561.0,108
149,Gol Maal,8.5,19000000.0,6130561.0,144
150,Varljivo leto '68,8.5,19000000.0,6130561.0,91
151,Home,8.5,19000000.0,1857172.0,118
152,Zübük,8.5,19000000.0,6130561.0,88
153,Thalapathi,8.5,19000000.0,106000000.0,157
154,Çöpçüler Krali,8.5,19000000.0,6130561.0,80
155,Selvi Boylum Al Yazmalim,8.5,19000000.0,45123.0,90
156,Sachin,8.5,19000000.0,288557.0,138
157,Roger Waters: The Wall,8.5,19000000.0,2214417.0,132
158,Graves End,8.5,1930000.0,6130561.0,90
159,Methagu,8.5,5000000.0,1577.0,100
160,BTS: Permission to Dance on Stage - LA,8.5,19000000.0,6130561.0,130
161,Inglourious Basterds,8.4,70000000.0,321460456.0,153
162,Joker,8.4,55000000.0,1078958629.0,122
163,The Dark Knight Rises,8.4,250000000.0,1114975066.0,164
164,Avengers: Endgame,8.4,356000000.0,2799439100.0,181
165,The Shining,8.4,19000000.0,47959450.0,146
166,Alien 2,8.4,18500000.0,131060248.0,137
167,Apocalypse Now,8.4,31500000.0,105090566.0,147
168,Memento,8.4,9000000.0,40047236.0,113
169,Raiders of the Lost Ark,8.4,18000000.0,389925971.0,115
170,Avengers: Infinity War,8.4,321000000.0,2052415039.0,149
171,Meiyazhagan,8.4,19000000.0,393589.0,177
172,Coco,8.4,175000000.0,814641172.0,105
173,Spider-Man: Into the Spider-Verse,8.4,90000000.0,393602435.0,117
174,Das Leben der Anderen,8.4,2000000.0,77672685.0,137
175,WALL·E,8.4,180000000.0,527403656.0,98
176,Amadeus,8.4,18000000.0,52075942.0,160
177,Kimi No Na Wa.,8.4,370000000.0,405340703.0,106
178,Sunset Blvd.,8.4,1752000.0,308663.0,110
179,Capharnaüm,8.4,4000000.0,64417003.0,126
180,Das Boot,8.4,32000000.0,11488778.0,149
181,Laapataa Ladies,8.4,19000000.0,108886.0,122
182,3 Idiots,8.4,550000000.0,60262836.0,170
183,Paths of Glory,8.4,935000.0,8290.0,88
184,Witness for the Prosecution,8.4,3000000.0,7903.0,116
185,The Great Dictator,8.4,2000000.0,972212.0,125
186,Tengoku to Jigoku,8.4,230000000.0,53170.0,143
187,Samsara,8.4,4000000.0,4426444.0,102
188,The Salt of the Earth,8.4,19000000.0,5412466.0,110
189,The Cove,8.4,19000000.0,1187434.0,92
190,Kaithi,8.4,240000000.0,522938.0,145
191,Flåklypa Grand Prix,8.4,19000000.0,6130561.0,88
192,Vada Chennai,8.4,19000000.0,472865.0,164
193,Sansho the Bailiff,8.4,19000000.0,5267.0,124
194,Asuran,8.4,600000000.0,379728.0,141
195,Drishyam 2,8.4,19000000.0,3841.0,152
196,Lizard,8.4,19000000.0,6130561.0,115
197,Attack on Titan: Chronicle,8.4,19000000.0,42908.0,122
198,Kad porastem bicu Kengur,8.4,19000000.0,13793.0,92
199,Filantropica,8.4,19000000.0,20795.0,110
200,Black Friday,8.4,19000000.0,1610897.0,143
201,Thani Oruvan,8.4,200000000.0,6130561.0,160
202,Apur Sansar,8.4,19000000.0,134241.0,105
203,Sigur Rós: Heima,8.4,19000000.0,36229.0,97
204,Mahanati,8.4,3650000.0,279078.0,177
205,Profesionalac,8.4,19000000.0,6130561.0,104
206,Visaaranai,8.4,19000000.0,1943.0,117
207,Taylor Swift: Folklore - The Long Pond Studio Sessions,8.4,19000000.0,6130561.0,105
208,Muhsin Bey,8.4,19000000.0,6130561.0,119
209,Pawankhind,8.4,19000000.0,4260686.0,153
210,Mudhalvan,8.4,19000000.0,500000000.0,169
211,Operatsiya 'Y' i drugie priklyucheniya Shurika,8.4,19000000.0,19314000.0,95
212,Virumandi,8.4,19000000.0,476950000.0,175
213,Gülen Gözler,8.4,19000000.0,6130561.0,97
214,The Last Crusade,8.4,33000000.0,6130561.0,203
215,Papanasam,8.4,19000000.0,586973.0,179
216,Pudhu Pettai,8.4,19000000.0,4652.0,168
217,Mandela,8.4,50000000.0,6130561.0,140
218,Kapicilar Krali,8.4,19000000.0,6130561.0,84
219,Ulidavaru Kandanthe,8.4,21000000.0,6130561.0,154
220,Iruvar,8.4,19000000.0,6130561.0,140
221,Kannathil Muthamittal,8.4,19000000.0,6130561.0,136
222,Bizim Aile,8.4,19000000.0,6130561.0,92
223,The Wild Robot,8.3,78000000.0,318387315.0,102
224,Oppenheimer,8.3,100000000.0,975594978.0,180
225,Good Will Hunting,8.3,10000000.0,225933435.0,126
226,Eternal Sunshine of the Spotless Mind,8.3,20000000.0,73395181.0,108
227,Requiem for a Dream,8.3,4500000.0,7390108.0,102
228,American Beauty,8.3,15000000.0,356296601.0,122
229,Heat,8.3,60000000.0,187436818.0,170
230,The Remarkable Life of Ibelin,8.3,19000000.0,1303564.0,106
231,Oldeuboi,8.3,3000000.0,17592355.0,101
232,Braveheart,8.3,72000000.0,213216216.0,178
233,Scarface,8.3,50000000.0,66443303.0,170
234,Jagten,8.3,20000000.0,15886373.0,115
235,2001: A Space Odyssey,8.3,12000000.0,66764997.0,149
236,Once Upon a Time in America,8.3,30000000.0,5475540.0,229
237,Reservoir Dogs,8.3,1200000.0,2931191.0,99
238,Toy Story,8.3,30000000.0,394436586.0,81
239,Incendies,8.3,6800000.0,6797861.0,131
240,Hamilton,8.3,19000000.0,6130561.0,160
241,Idi I Smotri,8.3,19000000.0,20929648.0,142
242,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,1800000.0,9631984.0,95
243,Le fabuleux destin d'Amélie Poulain,8.3,10000000.0,175183052.0,122
244,Lawrence of Arabia,8.3,15000000.0,45763719.0,227
245,Up,8.3,175000000.0,735102136.0,96
246,Star Wars: Episode VI - Return of the Jedi,8.3,32500000.0,482466382.0,131
247,Mononoke-hime,8.3,2400000000.0,170338626.0,133
248,Double Indemnity,8.3,927262.0,19543.0,107
249,North by Northwest,8.3,3101000.0,192323.0,136
250,Toy Story 3,8.3,200000000.0,1067316101.0,103
251,Metropolis,8.3,6000000.0,1350322.0,153
252,Citizen Kane,8.3,839727.0,1707754.0,119
253,Vertigo,8.3,2479000.0,7808900.0,128
254,To Kill a Mockingbird,8.3,2000000.0,599934.0,129
255,The Apartment,8.3,3000000.0,18778738.0,125
256,Singin' in the Rain,8.3,2540800.0,2093275.0,103
257,The Sting,8.3,5500000.0,156000000.0,129
258,Jodaeiye Nader Az Simin,8.3,500000.0,22926076.0,123
259,Dangal,8.3,700000000.0,303726782.0,161
260,M - Eine Stadt sucht einen Mörder,8.3,19000000.0,35566.0,117
261,Ikiru,8.3,19000000.0,111762.0,143
262,Judgment at Nuremberg,8.3,3000000.0,12180.0,179
263,Taare Zameen Par,8.3,19000000.0,21897373.0,162
264,Voyna i mir,8.3,8000000.0,149485.0,393
265,Ladri Di Biciclette,8.3,133000.0,451336.0,89
266,Shershaah,8.3,19000000.0,6130561.0,135
267,Vikram,8.3,1500000000.0,29837637.0,175
268,Sardar Udham,8.3,19000000.0,6130561.0,164
269,Man with a Movie Camera,8.3,19000000.0,3959.0,68
270,Chhichhore,8.3,19000000.0,3311391.0,143
271,Violet Evergarden: The Movie,8.3,19000000.0,20302668.0,140
272,The Rescue,8.3,19000000.0,1060556.0,107
273,Ratsasan,8.3,19000000.0,6130561.0,146
274,Dil Bechara,8.3,19000000.0,45171.0,101
275,Viduthalai Part 1,8.3,19000000.0,5880.0,150
276,To Live,8.3,19000000.0,2332728.0,133
277,Akahige,8.3,19000000.0,47741.0,185
278,Drishyam,8.3,35000000.0,13076265.0,160
279,Children of Paradise,8.3,19000000.0,44906.0,189
280,Scener ur ett äktenskap,8.3,19000000.0,250.0,169
281,Hoop Dreams,8.3,700000.0,11830611.0,170
282,Letyat zhuravli,8.3,19000000.0,32549.0,95
283,The Look of Silence,8.3,19000000.0,157857.0,103
284,Jana Gana Mana,8.3,100000000.0,3135150.0,162
285,Premam,8.3,19000000.0,600000000.0,156
286,2018,8.3,300000000.0,4547765.0,150
287,Jôi-uchi: Hairyô tsuma shimatsu,8.3,19000000.0,6130561.0,128
288,Won't You Be My Neighbor?,8.3,19000000.0,22844741.0,95
289,Brilliantovaya ruka,8.3,19000000.0,2266.0,94
290,Bangalore Days,8.3,19000000.0,180217.0,171
291,Satya,8.3,19000000.0,6130561.0,170
292,Uçurtmayi Vurmasinlar,8.3,19000000.0,6130561.0,85
293,Nayak,8.3,19000000.0,6130561.0,117
294,"Kavkazskaya Plennitsa, Ili Novye Priklyucheniya Shurika",8.3,25313.0,6130561.0,82
295,Winter on Fire: Ukraine's Fight for Freedom,8.3,19000000.0,6130561.0,102
296,Maheshinte Prathikaram,8.3,19000000.0,22361.0,120
297,Mahanagar,8.3,19000000.0,6130561.0,131
298,Mrtav 'ladan,8.3,19000000.0,6130561.0,90
299,Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô,8.3,19000000.0,107155.0,120
300,Anniyan,8.3,280000000.0,6130561.0,183
301,Vuk,8.3,19000000.0,6130561.0,79
302,Agent Sai Srinivasa Athreya,8.3,20000.0,4454.0,148
303,Sairat,8.3,19000000.0,6130561.0,174
304,Dzhentlmeny udachi,8.3,19000000.0,10560943.0,88
305,Baasha,8.3,19000000.0,250000000.0,145
306,Pithamagan,8.3,80000000.0,6130561.0,139
307,Jaane Bhi Do Yaaro,8.3,19000000.0,6130561.0,132
308,Khuda Kay Liye,8.3,19000000.0,2432378.0,168
309,Angoor,8.3,19000000.0,6130561.0,131
310,Kaakkaa Muttai,8.3,19000000.0,246551.0,109
311,Soodhu Kavvum,8.3,70000000.0,6130561.0,135
312,Kaun Pravin Tambe?,8.3,19000000.0,6130561.0,134
313,Pyaasa,8.3,19000000.0,6130561.0,146
314,Guide,8.3,19000000.0,6130561.0,183
315,Lucia,8.3,5100000.0,6130561.0,135
316,Mi nismo andjeli,8.3,19000000.0,6130561.0,98
317,Chupke Chupke,8.3,991000.0,6130561.0,146
318,Köyden Indim Sehire,8.3,19000000.0,6130561.0,91
319,Iron Maiden: Flight 666,8.3,19000000.0,233193.0,112
320,Pranchiyettan and the Saint,8.3,19000000.0,957.0,140
321,Macskafogó,8.3,19000000.0,14937.0,96
322,Aruvi,8.3,400000.0,6130561.0,130
