id,title,average_rating,budget,worldwide_gross,runtime
477,Ghilli,8.2,20000000.0,163961.0,160
478,LA 92,8.2,19000000.0,297.0,114
479,Pearl Jam Twenty,8.2,19000000.0,471334.0,119
480,Kshanam,8.2,11000000.0,6130561.0,110
481,The Times of Harvey Milk,8.2,19000000.0,46573.0,90
482,Nil Battey Sannata,8.2,19000000.0,6130561.0,100
483,Athadu,8.2,19000000.0,6130561.0,172
484,No End in Sight,8.2,2000000.0,1433319.0,102
485,The Union: The Business Behind Getting High,8.2,200000.0,6130561.0,104
486,Deiva Thirumagal,8.2,19000000.0,846407.0,162
487,Naduvula Konjam Pakkatha Kaanom,8.2,8000000.0,6130561.0,162
488,Kirik Party,8.2,19000000.0,12195.0,159
489,Television,8.2,36000000.0,6130561.0,106
490,Bol,8.2,19000000.0,509872.0,151
491,Foo Fighters: Back and Forth,8.2,19000000.0,172558.0,101
492,How to Train Your Dragon,8.1,165000000.0,494879860.0,98
493,The Wizard of Oz,8.1,2777000.0,25637669.0,102
494,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,140000000.0,654264546.0,143
495,Harry Potter and the Deathly Hallows: Part 2,8.1,125000000.0,1342499744.0,130
496,Logan,8.1,97000000.0,619180476.0,137
497,Mad Max: Fury Road,8.1,150000000.0,380437267.0,120
498,Dead Poets Society,8.1,16400000.0,235860116.0,128
499,Blade Runner,8.1,28000000.0,41758452.0,117
145,The Tashkent Files,8.1,19000000.0,71369.0,134
379,The Bridge,8.0,19000000.0,6130561.0,103
383,Körkarlen,8.0,19000000.0,6130561.0,107
433,Dedemin Insanlari,8.0,19000000.0,6130561.0,126
